Name,Team,G,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS
Aaron Judge,NYY,144,70,25,0,47,104,118,115,165,6,6,2
Bobby Witt Jr.,KCR,151,103,35,7,31,107,97,51,109,6,38,8
