Name,Team,W,L,G,SV,HLD,IP,H,ER,BB,SO
Shane Bieber,TOR,5,5,20,0,0,91,87,36,22,91
Andrew Heaney,PIT,8,9,36,0,0,143,139,67,44,132
Kutter Crawford,BOS,7,7,51,0,0,124,118,59,34,122
Lucas Giolito,BOS,7,8,32,0,0,137,133,67,48,136
Bowden Francis,TOR,9,9,35,0,0,159,153,76,44,146
Chris Paddack,DET,7,8,53,0,0,134,134,62,32,122
Justin Verlander,SFG,7,9,24,0,0,141,139,66,35,119
Walker Buehler,BOS,8,9,37,0,0,152,158,77,51,128
Charlie Morton,DET,9,9,27,0,0,158,149,73,62,158
Mason Miller,SDP,3,2,67,29,2,67,44,19,23,98
Jared Jones,PIT,5,5,22,0,0,90,81,38,30,93
Steven Matz,BOS,7,7,55,0,0,127,121,54,35,114
Antonio Senzatela,COL,7,10,39,0,0,148,175,83,40,95
Casey Mize,DET,7,8,22,0,0,123,125,56,34,100
Kyle Freeland,COL,7,11,27,0,0,158,182,90,43,116
Jameson Taillon,CHC,9,10,29,0,0,167,174,83,40,134
Mitchell Parker,WSN,8,10,34,0,0,154,149,73,56,135
Landen Roupp,SFG,7,8,40,0,0,137,128,59,55,128
Tyler Mahle,TEX,8,8,24,0,0,138,135,66,43,129
Kris Bubic,KCR,7,7,49,0,0,130,129,59,46,119
Zebby Matthews,MIN,6,6,42,0,0,107,106,48,22,94
Tobias Myers,MIL,8,9,41,0,0,144,143,70,44,131
Andre Pallante,STL,7,8,37,0,0,134,139,60,54,99
Jon Gray,TEX,6,6,29,0,0,109,107,51,33,99
Eury Pérez,MIA,4,5,14,0,0,80,71,35,26,89
Andrew Abbott,CIN,6,7,21,0,0,117,115,60,42,113
Lance McCullers Jr.,HOU,6,6,40,0,0,109,103,47,41,104
Marcus Stroman,,9,10,29,0,0,162,174,82,57,120
Shane Baz,TBR,8,9,36,0,0,149,145,73,55,140
Spencer Arrighetti,HOU,8,9,25,0,0,141,129,69,61,144
Davis Martin,CHW,6,9,24,0,0,133,134,67,48,113
Frankie Montas,NYM,6,6,19,0,0,105,99,47,37,100
Jose Quintana,MIL,7,8,24,0,0,135,138,65,50,113
Sean Burke,CHW,7,11,33,0,0,169,164,88,76,154
Alec Marsh,KCR,6,7,37,0,0,116,114,56,41,110
Rhett Lowder,CIN,6,7,31,0,0,114,120,58,36,92
